Boston-FG-61E-01 # execute dhcp lease-list
LocalNet
  IP			MAC-Address		Hostname		VCI			Expiry
  10.10.20.49		b4:ae:2b:cd:e8:e6	DESKTOP-23MB30U		MSFT 5.0		Fri Mar  6 09:35:52 2020
  10.10.20.69		80:e8:2c:1b:49:d4	s_leddy_nb		MSFT 5.0		Fri Mar  6 11:58:48 2020
  10.10.20.77		1c:36:bb:e2:a0:06	iPhone				Fri Mar  6 12:37:14 2020
  10.10.20.76		70:48:0f:93:16:53	Bill-IPad				Fri Mar  6 12:44:41 2020
  10.10.20.42		88:19:08:ca:9b:a7	Olga-Noha				Mon Mar  9 10:12:21 2020
  10.10.20.72		ec:8e:b5:32:63:a1	a_donchuk_n		MSFT 5.0		Mon Mar  9 10:18:23 2020
  10.10.20.59		d8:fc:93:2f:07:2e	PER1-204142		MSFT 5.0		Mon Mar  9 13:04:40 2020
  10.10.20.17		9c:e3:3f:5f:66:a2	Alexs-iPhone				Mon Mar  9 13:54:16 2020
  10.10.20.20		84:ef:18:33:70:84	a_donchuk_n		MSFT 5.0		Mon Mar  9 18:11:18 2020
  10.10.20.13		00:0b:82:e2:49:ad			Grandstream GXP1620 dslforum.org		Mon Mar  9 20:38:23 2020
  10.10.20.55		00:0b:82:a0:f7:65			Grandstream GXP1620 dslforum.org		Tue Mar 10 01:23:15 2020
  10.10.20.25		00:0b:82:e2:4b:38			Grandstream GXP1620 dslforum.org		Tue Mar 10 04:43:34 2020
  10.10.20.50		00:0b:82:e2:49:e8			Grandstream GXP1620 dslforum.org		Tue Mar 10 05:08:57 2020
  10.10.20.34		00:0b:82:5c:d5:4b			Grandstream GXP1405 dslforum.org		Tue Mar 10 23:02:58 2020
  10.10.20.28		00:0b:82:74:e5:18			Grandstream GXP1405 dslforum.org		Wed Mar 11 03:58:43 2020
  10.10.20.41		00:0b:82:5c:d5:46			Grandstream GXP1405 dslforum.org		Wed Mar 11 05:13:18 2020
  10.10.20.22		b8:c1:11:13:20:af	Alex-Kliuchnyk				Wed Mar 11 08:20:44 2020
  10.10.20.12		00:0b:82:90:09:0c			Grandstream GXP1625 dslforum.org		Wed Mar 11 09:17:20 2020
  10.10.20.40		00:0b:82:e2:65:1e			Grandstream GXP1620 dslforum.org		Wed Mar 11 10:50:57 2020
  10.10.20.30		00:0b:82:63:95:b9			Grandstream GXP1405 dslforum.org		Wed Mar 11 12:53:56 2020
  10.10.20.71		b0:ca:68:a4:5a:af	iPhone-Sergej				Thu Mar 12 08:10:59 2020
  10.10.20.67		82:b9:ca:60:85:65			android-dhcp-10		Thu Mar 12 08:47:16 2020
  10.10.20.46		74:40:bb:83:f4:01	p_dozortseva_nb		MSFT 5.0		Thu Mar 12 09:07:02 2020
  10.10.20.75		00:0b:82:5b:8b:f3			Grandstream GXP1405 dslforum.org		Thu Mar 12 10:48:29 2020
  10.10.20.48		54:99:63:c0:6e:f4	iPhone				Thu Mar 12 12:10:33 2020
  10.10.20.65		ac:e2:d3:5b:06:ac	s_sorokin_n		MSFT 5.0		Thu Mar 12 12:25:21 2020
  10.10.20.64		e8:d8:d1:3e:2f:85	j_bellinger_nb		MSFT 5.0		Thu Mar 12 13:35:58 2020
  10.10.20.53		a4:83:e7:1e:24:83	Andies-Air				Thu Mar 12 13:57:10 2020
  10.10.20.66		40:5b:d8:a1:dc:17	j_bellinger_nb		MSFT 5.0		Thu Mar 12 14:01:58 2020
  10.10.20.39		2c:6f:c9:21:f2:91	n_madapadi_nb		MSFT 5.0		Thu Mar 12 14:07:48 2020
  10.10.20.45		80:ce:62:36:af:9d	n_madapadi_nb		MSFT 5.0		Thu Mar 12 14:07:53 2020
  10.10.20.14		cc:66:0a:a4:4e:9b	jbindas-iPhone				Thu Mar 12 14:11:19 2020
  10.10.20.21		7c:a1:ae:58:fe:2b	iPhone-Sergej				Thu Mar 12 14:15:34 2020
  10.10.20.37		f8:94:c2:d8:19:72	s_sorokin_n		MSFT 5.0		Thu Mar 12 14:16:45 2020
  10.10.20.73		00:24:9b:13:44:d8	k_kostereva_nb		MSFT 5.0		Thu Mar 12 14:39:32 2020
  10.10.20.68		3c:f0:11:57:57:97	k_kostereva_nb		MSFT 5.0		Thu Mar 12 14:42:36 2020
  10.10.20.52		30:57:14:a3:b6:b3	Andriis-iPhone				Thu Mar 12 14:46:46 2020
  10.10.20.44		20:79:18:2e:fc:fc	o_noha_nb		MSFT 5.0		Thu Mar 12 14:51:21 2020
  10.10.20.62		b0:52:16:a7:28:c5	d_levy		MSFT 5.0		Thu Mar 12 15:12:21 2020
  10.10.20.61		ac:e2:d3:69:7b:1d	d_levy		MSFT 5.0		Thu Mar 12 15:13:05 2020
  10.10.20.70		10:e7:c6:e8:9b:90	a_brill_n		MSFT 5.0		Thu Mar 12 15:15:57 2020
  10.10.20.18		9c:30:5b:dc:af:55	a_brill_n		MSFT 5.0		Thu Mar 12 15:16:05 2020
  10.10.20.32		2c:6f:c9:47:9d:6f	j_binda_nb		MSFT 5.0		Thu Mar 12 15:59:09 2020
  10.10.20.31		80:ce:62:3b:1a:da	j_binda_nb		MSFT 5.0		Thu Mar 12 16:00:31 2020
  10.10.20.56		9c:30:5b:dc:50:35	a_rekova_nb		MSFT 5.0		Thu Mar 12 16:34:58 2020
  10.10.20.51		20:78:f0:a4:38:b1	CoraysApleWatch				Thu Mar 12 17:08:12 2020
  10.10.20.19		50:e0:85:eb:ae:c4	c_thibaut_n		MSFT 5.0		Thu Mar 12 17:14:00 2020
  10.10.20.11		90:32:4b:50:08:87	l_zaborowski_n		MSFT 5.0		Thu Mar 12 17:18:23 2020
  10.10.20.60		d8:8f:76:b3:92:59	iPhone				Thu Mar 12 17:45:47 2020
  10.10.20.54		b0:f1:ec:bd:3c:42	remarkable		dhcpcd-6.11.5:Linux-4.9.84-zero-gravitas:armv7l:Freescale		Thu Mar 12 17:50:28 2020
  10.10.20.26		1c:36:bb:18:56:da	Eriks-Air				Thu Mar 12 17:53:18 2020
  10.10.20.35		58:82:a8:9c:f2:f9	A_KLYUCHNIK_NB		MSFT 5.0		Thu Mar 12 17:58:00 2020
  10.10.20.58		ec:5c:68:af:37:59	s_leddy_nb		MSFT 5.0		Thu Mar 12 18:05:47 2020
  10.10.20.29		f8:2d:7c:87:2e:63	iPhone				Thu Mar 12 18:06:01 2020
  10.10.20.38		c0:a6:00:09:31:66	NandeeshXSPhone				Thu Mar 12 18:13:30 2020
  10.10.20.43		b4:b6:86:e5:86:6d	l_zaborowski_n		MSFT 5.0		Thu Mar 12 18:17:57 2020
  10.10.20.33		98:5f:d3:c6:16:e7	A_KLYUCHNIK_NB		MSFT 5.0		Thu Mar 12 18:19:10 2020
  10.10.20.23		ac:88:fd:28:d4:ce	iPhone				Thu Mar 12 18:51:42 2020
  10.10.20.24		00:0b:82:e2:49:a3			Grandstream GXP1620 dslforum.org		Thu Mar 12 21:41:01
